CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,France,Germany,Spain,Female,Male,Exited
822,50,7,0.0,2,1,1,10062.8,1,0,0,0,1,0
528,31,6,102016.72,2,0,0,80181.12,1,0,0,0,1,0
497,24,3,0.0,2,1,0,76390.01,0,0,1,0,1,0
549,24,9,0.0,2,1,1,14406.41,0,0,1,1,0,0
587,45,6,0.0,1,0,0,158684.81,0,0,1,0,1,0
726,24,6,0.0,2,1,1,54724.03,1,0,0,1,0,0
732,41,8,0.0,2,1,1,170886.17,1,0,0,0,1,0
577,25,3,0.0,2,0,1,124508.29,1,0,0,0,1,0
756,36,2,136815.64,1,1,1,170041.95,0,1,0,0,1,0
411,29,0,59697.17,2,1,1,53483.21,1,0,0,0,1,0
520,42,6,0.0,2,1,1,34410.55,0,0,1,1,0,0
490,31,3,145260.23,1,0,1,114066.77,0,0,1,0,1,0
804,33,7,76548.6,1,0,1,98453.45,0,0,1,0,1,0
582,41,6,70349.48,2,0,1,178074.04,0,1,0,0,1,0
698,44,10,116363.37,2,1,0,198059.16,0,1,0,0,1,0
619,43,1,125211.92,1,1,1,113410.49,1,0,0,0,1,0
656,45,5,127864.4,1,1,0,87107.57,1,0,0,0,1,0
725,19,0,75888.2,1,0,0,45613.75,0,1,0,0,1,0
684,56,8,78707.16,1,1,1,99398.36,0,0,1,0,1,0
661,35,5,150725.53,2,0,1,113656.85,0,1,0,1,0,0
813,29,6,0.0,1,1,0,33953.87,1,0,0,0,1,0
604,25,5,157780.84,2,1,1,58426.81,0,1,0,1,0,0
519,36,9,0.0,2,0,1,145562.4,1,0,0,0,1,0
664,55,8,0.0,2,1,1,139161.64,1,0,0,0,1,0
665,34,1,96645.54,2,0,0,171413.66,1,0,0,1,0,0
493,46,4,0.0,2,1,0,1907.66,1,0,0,1,0,0
729,30,9,0.0,2,1,0,151869.35,1,0,0,0,1,0
769,29,8,0.0,2,1,1,172290.61,1,0,0,0,1,0
515,35,10,176273.95,1,0,1,121277.78,0,0,1,0,1,0
710,22,8,0.0,2,0,0,99645.04,0,0,1,0,1,0
665,40,6,0.0,1,1,1,161848.03,1,0,0,1,0,0
582,32,1,88938.62,1,1,1,10054.53,0,1,0,0,1,0
785,36,2,99806.85,1,0,1,36976.52,0,1,0,1,0,0
605,33,5,150092.8,1,0,0,71862.79,0,0,1,0,1,0
668,37,6,167864.4,1,1,0,115638.29,0,1,0,1,0,0
674,39,6,120193.42,1,0,0,100130.95,0,0,1,0,1,0
656,39,6,0.0,2,1,0,141069.88,1,0,0,1,0,0
684,48,10,126384.42,1,1,1,198129.36,0,1,0,1,0,0
828,41,7,0.0,2,1,0,171378.77,1,0,0,1,0,0
758,34,3,0.0,2,1,1,124226.16,1,0,0,1,0,0
637,40,2,133463.1,1,0,1,93165.34,1,0,0,0,1,0
756,44,10,137452.09,1,1,0,189543.9,0,1,0,0,1,0
663,34,7,0.0,2,1,1,180427.24,1,0,0,0,1,0
614,43,6,0.0,2,1,1,109041.53,1,0,0,1,0,0
646,73,6,97259.25,1,0,1,104719.66,1,0,0,1,0,0
717,22,6,101060.25,1,0,1,84699.56,0,0,1,1,0,0
615,41,9,109013.23,1,1,0,196499.96,0,0,1,1,0,0
682,24,9,57929.81,2,0,0,53134.3,0,1,0,0,1,0
510,30,0,0.0,2,1,1,130553.47,1,0,0,1,0,0
606,36,5,190479.48,2,0,0,179351.89,0,1,0,0,1,0
597,40,8,101993.12,1,0,1,94774.12,0,0,1,1,0,0
510,65,2,0.0,2,1,1,48071.61,1,0,0,0,1,0
514,32,8,0.0,2,1,0,95857.18,1,0,0,0,1,0
616,30,5,0.0,2,0,1,196108.51,0,0,1,0,1,0
501,57,10,0.0,2,1,1,47847.19,1,0,0,0,1,0
521,35,6,96423.84,1,1,0,10488.44,1,0,0,0,1,0
620,41,9,0.0,2,0,0,88852.47,1,0,0,1,0,0
676,34,1,63095.01,1,1,1,40645.81,1,0,0,1,0,0
730,33,9,0.0,2,0,0,176576.62,0,0,1,1,0,0
567,42,2,0.0,2,1,1,167984.61,1,0,0,0,1,0
670,37,4,170557.91,2,1,0,198252.88,1,0,0,0,1,0
703,37,8,105961.68,2,0,1,74158.8,1,0,0,0,1,0
